Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Growth_Rate (%)
An Giang,607.6,2149.0,98.9,0.03,1300.4,Mekong Delta,2011,
An Giang,608.3,2151.2,98.9,0.1,1304.4,Mekong Delta,2012,0.30759766225776364
An Giang,608.8,2153.3,98.6,0.1,1275.8,Mekong Delta,2013,-2.1925789635081405
An Giang,610.0,2155.8,98.1,0.11,1218.3,Mekong Delta,2014,-4.50697601504938
An Giang,610.0,2158.3,98.1,0.12,1218.9,Mekong Delta,2015,0.049248953459746225
An Giang,611.0,2159.9,98.1,0.07,1228.3,Mekong Delta,2016,0.7711871359422418
An Giang,611.0,2161.7,98.6,-1.12,1096.2,Mekong Delta,2017,-10.754701620125374
An Giang,612.0,2164.2,98.6,-1.18,1078.7,Mekong Delta,2018,-1.5964240102171123
An Giang,539.0,1907.4,98.62,-1.22,1002.5,Mekong Delta,2019,-7.064058589042366
An Giang,539.0,1904.5,98.61,-0.15,985.55,Mekong Delta,2020,-1.6907730673316745
Ba Ria - Vung Tau,513.9,1022.5,99.9,1.1,553.9,South East,2011,
Ba Ria - Vung Tau,519.2,1033.0,99.8,1.03,567.8,South East,2012,2.5094782451706044
Ba Ria - Vung Tau,526.0,1046.5,99.4,1.31,577.6,South East,2013,1.7259598450158675
Ba Ria - Vung Tau,533.0,1059.5,99.7,1.24,537.4,South East,2014,-6.959833795013859
Ba Ria - Vung Tau,539.0,1072.6,99.9,1.84,570.0,South East,2015,6.066244882768901
Ba Ria - Vung Tau,551.0,1092.0,100.2,1.04,598.0,South East,2016,4.912280701754379
Ba Ria - Vung Tau,556.0,1101.6,100.6,0.86,606.6,South East,2017,1.4381270903010002
Ba Ria - Vung Tau,562.0,1112.9,100.7,0.98,610.1,South East,2018,0.5769864820309945
Ba Ria - Vung Tau,582.0,1152.2,100.74,1.22,624.1,South East,2019,2.294705785936735
Ba Ria - Vung Tau,590.0,1167.9,98.3,1.36,597.38,South East,2020,-4.281365165838813
Bac Giang,411.5,1581.8,98.5,0.76,989.4,Midlands and northern mountains,2011,
Bac Giang,413.9,1592.9,98.4,0.7,999.1,Midlands and northern mountains,2012,0.9803921568627416
Bac Giang,417.7,1608.0,96.6,0.95,1000.0,Midlands and northern mountains,2013,0.09008107296566426
Bac Giang,422.0,1624.5,98.7,1.03,1022.6,Midlands and northern mountains,2014,2.2599999999999953
Bac Giang,426.0,1640.9,98.7,1.01,1036.1,Midlands and northern mountains,2015,1.3201642871112806
Bac Giang,426.0,1657.6,98.7,1.02,1034.5,Midlands and northern mountains,2016,-0.15442524852812278
Bac Giang,430.0,1674.4,100.3,2.35,1063.7,Midlands and northern mountains,2017,2.822619623006295
Bac Giang,434.0,1691.8,100.5,2.34,1088.1,Midlands and northern mountains,2018,2.2938798533420846
Bac Giang,465.0,1810.4,100.77,1.85,1107.9,Midlands and northern mountains,2019,1.8196856906534498
Bac Giang,473.0,1841.6,101.01,1.72,1102.8,Midlands and northern mountains,2020,-0.46033035472516914
Bac Kan,61.8,300.4,102.6,0.99,199.6,Midlands and northern mountains,2011,
Bac Kan,62.4,303.0,102.4,0.86,204.8,Midlands and northern mountains,2012,2.605210420841697
Bac Kan,62.8,305.2,103.1,0.7,214.9,Midlands and northern mountains,2013,4.931640625
Bac Kan,63.0,307.3,101.0,0.69,219.6,Midlands and northern mountains,2014,2.1870637505816637
Bac Kan,64.0,313.1,98.9,1.89,223.5,Midlands and northern mountains,2015,1.775956284153013
Bac Kan,66.0,319.0,96.9,1.88,228.8,Midlands and northern mountains,2016,2.371364653243857
Bac Kan,67.0,323.2,103.6,0.72,208.7,Midlands and northern mountains,2017,-8.784965034965042
Bac Kan,67.0,327.9,103.8,0.7,216.5,Midlands and northern mountains,2018,3.737422137038826
Bac Kan,65.0,314.4,104.07,0.74,211.0,Midlands and northern mountains,2019,-2.5404157043879882
Bac Kan,65.0,316.5,103.59,0.66,205.97,Midlands and northern mountains,2020,-2.3838862559241725
Bac Lieu,350.3,864.9,99.0,0.46,514.0,Mekong Delta,2011,
Bac Lieu,352.1,869.3,98.9,0.5,516.0,Mekong Delta,2012,0.3891050583657574
Bac Lieu,353.9,873.6,98.5,0.5,504.5,Mekong Delta,2013,-2.2286821705426396
Bac Lieu,356.0,877.9,101.3,0.48,505.8,Mekong Delta,2014,0.25768087215065627
Bac Lieu,357.0,882.0,101.3,0.47,506.5,Mekong Delta,2015,0.1383946223803889
Bac Lieu,332.0,886.2,101.3,0.47,513.0,Mekong Delta,2016,1.2833168805528095
Bac Lieu,335.0,894.3,100.0,0.55,514.5,Mekong Delta,2017,0.29239766081872176
Bac Lieu,336.0,897.0,100.1,0.58,516.7,Mekong Delta,2018,0.42759961127309953
Bac Lieu,340.0,908.2,100.19,0.58,518.1,Mekong Delta,2019,0.27095026127346156
Bac Lieu,342.0,913.5,100.15,0.58,507.76,Mekong Delta,2020,-1.995753715498949
Bac Ninh,1292.6,1063.4,96.7,1.84,593.5,Hong river Delta,2011,
Bac Ninh,1319.8,1085.8,96.8,2.1,625.3,Hong river Delta,2012,5.358045492839092
Bac Ninh,1347.0,1108.2,96.6,2.06,642.1,Hong river Delta,2013,2.686710379018087
Bac Ninh,1375.0,1131.2,96.7,2.08,658.2,Hong river Delta,2014,2.5073976016196875
Bac Ninh,1404.0,1154.7,96.8,2.07,661.7,Hong river Delta,2015,0.5317532664843583
Bac Ninh,1432.0,1178.6,96.8,2.07,666.9,Hong river Delta,2016,0.7858546168958647
Bac Ninh,1477.0,1215.2,97.4,3.17,735.6,Hong river Delta,2017,10.301394511920826
Bac Ninh,1516.0,1247.5,96.8,3.05,751.6,Hong river Delta,2018,2.175095160413276
Bac Ninh,1676.0,1378.6,97.62,3.08,777.7,Hong river Delta,2019,3.472591804151137
Bac Ninh,1725.0,1419.1,97.07,2.94,774.57,Hong river Delta,2020,-0.4024688183103975
Ben Tre,532.7,1257.4,96.3,0.06,777.1,Mekong Delta,2011,
Ben Tre,534.0,1258.9,96.1,0.12,770.8,Mekong Delta,2012,-0.810706472783429
Ben Tre,534.3,1260.6,96.0,0.13,775.8,Mekong Delta,2013,0.6486766995329463
Ben Tre,535.0,1262.2,96.2,0.13,808.6,Mekong Delta,2014,4.227893787058523
Ben Tre,536.0,1263.7,96.4,0.12,809.4,Mekong Delta,2015,0.09893643334157876
Ben Tre,528.0,1265.2,96.6,0.12,807.3,Mekong Delta,2016,-0.25945144551520194
Ben Tre,529.0,1266.7,95.9,0.3,814.5,Mekong Delta,2017,0.891861761426993
Ben Tre,530.0,1268.2,95.9,0.27,814.5,Mekong Delta,2018,0.0
Ben Tre,538.0,1289.1,95.81,0.24,828.8,Mekong Delta,2019,1.7556783302639545
Ben Tre,540.0,1292.4,96.03,0.26,827.08,Mekong Delta,2020,-0.2075289575289463
Binh Dinh,247.6,1498.2,95.1,0.42,880.4,North Central and Central Coast,2011,
Binh Dinh,248.3,1502.4,95.1,0.28,893.9,North Central and Central Coast,2012,1.5333939118582496
Binh Dinh,249.4,1509.3,95.1,0.46,920.1,North Central and Central Coast,2013,2.930976619308656
Binh Dinh,250.0,1514.5,95.5,0.34,931.4,North Central and Central Coast,2014,1.2281273774589652
Binh Dinh,251.0,1519.7,95.5,0.38,912.9,North Central and Central Coast,2015,-1.9862572471548212
Binh Dinh,251.0,1524.6,95.5,0.29,931.4,North Central and Central Coast,2016,2.0265089275933734
Binh Dinh,252.0,1529.0,96.1,0.0,893.7,North Central and Central Coast,2017,-4.047670173931706
Binh Dinh,253.0,1534.8,96.5,0.0,907.3,North Central and Central Coast,2018,1.5217634552981973
Binh Dinh,245.0,1487.8,97.03,0.0,891.2,North Central and Central Coast,2019,-1.7744957566405706
Binh Dinh,245.0,1487.9,97.05,0.01,864.5,North Central and Central Coast,2020,-2.995960502693007
Binh Duong,615.8,1659.1,92.7,4.3,1077.6,South East,2011,
Binh Duong,642.4,1731.0,93.1,4.33,1147.2,South East,2012,6.458797327394228
Binh Duong,669.0,1802.5,93.3,4.13,1197.7,South East,2013,4.402022315202236
Binh Duong,695.0,1873.6,93.3,3.94,1268.7,South East,2014,5.928028721716627
