Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Labor_rate (%)
Thai Binh,1179.0,1870.3,95.05,0.43,1084.33,Hong river Delta,2020,57.97626049296905
Ha Nam,1000.0,861.8,97.13,0.86,466.97,Hong river Delta,2020,54.185425852866096
Nam Dinh,1067.0,1780.3,96.05,-0.03,1025.16,Hong river Delta,2020,57.583553333707805
Ninh Binh,717.0,993.9,99.61,0.95,563.57,Hong river Delta,2020,56.70288761444814
Ha Giang,110.0,870.2,102.1,1.42,529.36,Midlands and northern mountains,2020,60.831992645368885
Cao Bang,80.0,533.1,100.35,0.42,348.99,Midlands and northern mountains,2020,65.46426561620709
Bac Kan,65.0,316.5,103.59,0.66,205.97,Midlands and northern mountains,2020,65.07740916271722
Tuyen Quang,135.0,792.9,101.41,0.84,480.5,Midlands and northern mountains,2020,60.600327910203056
Lao Cai,117.0,746.4,103.78,1.78,432.98,Midlands and northern mountains,2020,58.00911039657021
Yen Bai,121.0,831.6,101.35,1.04,521.21,Midlands and northern mountains,2020,62.675565175565175
Thai Nguyen,371.0,1307.9,95.51,1.31,769.91,Midlands and northern mountains,2020,58.866121263093504
Lang Son,95.0,788.7,104.7,0.75,487.72,Midlands and northern mountains,2020,61.83846836566502
Bac Giang,473.0,1841.6,101.01,1.72,1102.8,Midlands and northern mountains,2020,59.88271068635969
Phu Tho,419.0,1481.9,98.57,1.06,847.42,Midlands and northern mountains,2020,57.18469532357109
Dien Bien,64.0,613.5,103.13,1.96,353.09,Midlands and northern mountains,2020,57.55338223308883
Lai Chau,52.0,469.8,103.04,1.55,284.14,Midlands and northern mountains,2020,60.481055768412084
Son La,90.0,1270.6,102.94,1.43,770.54,Midlands and northern mountains,2020,60.64379033527467
Hoa Binh,188.0,861.2,101.0,0.63,531.02,Midlands and northern mountains,2020,61.66047375754761
Thanh Hoa,330.0,3664.9,98.81,0.53,2225.48,North Central and Central Coast,2020,60.724167098693
Nghe An,204.0,3365.2,100.28,0.84,1926.96,North Central and Central Coast,2020,57.26138119576846
Ha Tinh,216.0,1296.6,98.12,0.49,671.83,North Central and Central Coast,2020,51.814746259447794
Quang Binh,113.0,902.0,100.83,0.6,505.26,North Central and Central Coast,2020,56.01552106430155
Quang Tri,138.0,637.3,98.33,0.6,348.11,North Central and Central Coast,2020,54.62262670641771
Thua Thien Hue,231.0,1133.7,98.06,0.37,583.7,North Central and Central Coast,2020,51.48628384934286
Da Nang,910.0,1169.5,97.91,2.48,586.19,North Central and Central Coast,2020,50.123129542539544
Quang Nam,142.0,1505.0,96.82,0.51,891.18,North Central and Central Coast,2020,59.21461794019933
Quang Ngai,239.0,1233.4,97.76,0.12,731.69,North Central and Central Coast,2020,59.323009567050434
Binh Dinh,245.0,1487.9,97.05,0.01,864.5,North Central and Central Coast,2020,58.10202298541568
Phu Yen,174.0,874.3,101.18,0.13,510.68,North Central and Central Coast,2020,58.41015669678601
Khanh Hoa,241.0,1240.4,99.19,0.62,671.7,North Central and Central Coast,2020,54.15188648822961
Ninh Thuan,177.0,593.6,102.08,0.44,328.29,North Central and Central Coast,2020,55.304919137466314
Binh Thuan,109.0,5932.1,101.13,0.57,712.01,North Central and Central Coast,2020,12.002663474991992
Kon Tum,57.0,555.6,100.83,2.24,312.8,Highlands,2020,56.299496040316775
Gia Lai,99.0,1541.8,100.57,1.43,898.84,Highlands,2020,58.29809313789078
Dak Lak,145.0,1886.9,101.87,0.77,1101.7,Highlands,2020,58.38677195399862
Dak Nong,98.0,637.9,104.98,1.93,373.21,Highlands,2020,58.50603542875059
Lam Dong,134.0,1309.8,101.43,0.8,770.03,Highlands,2020,58.78989158650175
Binh Phuoc,147.0,1011.1,101.64,1.33,603.84,South East,2020,59.721095836217984
Tay Ninh,292.0,1178.3,100.11,0.57,692.83,South East,2020,58.79911737248579
Binh Duong,958.0,2580.6,105.0,5.06,1650.85,South East,2020,63.971557002247536
Dong Nai,542.0,3177.4,103.12,2.05,1767.62,South East,2020,55.63101907219738
Ba Ria - Vung Tau,590.0,1167.9,98.3,1.36,597.38,South East,2020,51.14992721979621
Ho Chi Minh,4476.0,9227.6,94.93,2.09,4769.63,South East,2020,51.6887381334258
Long An,381.0,1713.7,99.68,1.09,1029.33,Mekong Delta,2020,60.064772130477905
Tien Giang,706.0,1772.5,96.15,0.35,1112.13,Mekong Delta,2020,62.743582510578285
Ben Tre,540.0,1292.4,96.03,0.26,827.08,Mekong Delta,2020,63.995666976168366
Tra Vinh,428.0,1009.9,96.85,0.06,561.34,Mekong Delta,2020,55.58372116051095
Vinh Long,670.0,1023.0,97.09,0.03,603.6,Mekong Delta,2020,59.00293255131965
Dong Thap,473.0,1600.0,99.81,0.08,917.35,Mekong Delta,2020,57.334375
An Giang,539.0,1904.5,98.61,-0.15,985.55,Mekong Delta,2020,51.74849041743239
Kien Giang,272.0,1728.9,102.84,0.3,923.98,Mekong Delta,2020,53.44322979929434
Can Tho,862.0,1240.7,98.65,0.39,716.78,Mekong Delta,2020,57.77222535665349
Hau Giang,450.0,729.8,101.38,-0.33,402.33,Mekong Delta,2020,55.128802411619624
Soc Trang,361.0,1195.7,99.34,-0.32,641.91,Mekong Delta,2020,53.68487078698669
Bac Lieu,342.0,913.5,100.15,0.58,507.76,Mekong Delta,2020,55.584017515052
Ca Mau,229.0,1193.9,102.64,-0.03,669.77,Mekong Delta,2020,56.09933830304045
