Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Labor_rate (%)
Lam Dong,126.1,1232.0,100.1,1.09,720.4,Highlands,2012,58.47402597402597
Binh Phuoc,132.3,908.9,101.9,1.29,568.4,South East,2012,62.53713279788755
Tay Ninh,269.7,1089.7,97.7,0.71,649.2,South East,2012,59.57603010002753
Binh Duong,642.4,1731.0,93.1,4.33,1147.2,South East,2012,66.27383015597921
Dong Nai,458.4,2707.8,96.2,2.56,1585.0,South East,2012,58.534603737351354
Ba Ria - Vung Tau,519.2,1033.0,99.8,1.03,567.8,South East,2012,54.966118102613734
Ho Chi Minh,3655.4,7660.3,93.1,2.16,4086.4,South East,2012,53.34516924924612
Long An,325.1,1460.3,98.7,0.72,894.2,Mekong Delta,2012,61.23399301513388
Tien Giang,674.8,1692.5,96.2,0.59,1029.4,Mekong Delta,2012,60.821270310192034
Ben Tre,534.0,1258.9,96.1,0.12,770.8,Mekong Delta,2012,61.22805623957422
Tra Vinh,435.0,1018.4,97.0,0.52,604.4,Mekong Delta,2012,59.34799685781618
Vinh Long,687.4,1034.5,97.2,0.53,619.1,Mekong Delta,2012,59.845335911068155
Dong Thap,496.0,1675.0,99.2,0.2,985.2,Mekong Delta,2012,58.8179104477612
An Giang,608.3,2151.2,98.9,0.1,1304.4,Mekong Delta,2012,60.63592413536632
Kien Giang,271.5,1723.8,101.0,0.76,1036.8,Mekong Delta,2012,60.14618865297599
Can Tho,864.7,1218.3,98.9,0.85,698.9,Mekong Delta,2012,57.366822621685955
Hau Giang,476.6,763.8,101.6,0.28,456.4,Mekong Delta,2012,59.75386226760933
Soc Trang,393.0,1301.5,98.7,0.24,749.4,Mekong Delta,2012,57.579715712639256
Bac Lieu,352.1,869.3,98.9,0.5,516.0,Mekong Delta,2012,59.35810422178764
Ca Mau,228.9,1212.1,100.8,0.17,697.7,Mekong Delta,2012,57.561257322003144
Ha Noi,2098.8,6977.0,96.4,1.63,3799.6,Hong river Delta,2013,54.45893650566146
Vinh Phuc,831.1,1029.4,97.6,0.68,613.2,Hong river Delta,2013,59.56868078492326
Bac Ninh,1347.0,1108.2,96.6,2.06,642.1,Hong river Delta,2013,57.940804908861224
Quang Ninh,194.6,1187.5,106.0,0.82,711.4,Hong river Delta,2013,59.90736842105263
Hai Duong,1057.9,1751.8,95.7,0.58,1077.0,Hong river Delta,2013,61.47962096129695
Hai Phong,1260.4,1925.2,98.7,1.11,1125.6,Hong river Delta,2013,58.46665281529191
Hung Yen,1243.6,1151.6,97.6,0.66,708.3,Hong river Delta,2013,61.50573115665161
